# Loss, Validation_Loss, Accuracy, Validation_Accuracy, Dice_Loss, Validation_Dice_Loss, Recall, Vaalidation_Recall, AUC, Validation_AUC, Precision, Validation_Precision
1.931716948747634888e-01,1.039897918701171875e+00,9.431248903274536133e-01,9.395731687545776367e-01,8.826019763946533203e-01,8.816964030265808105e-01,1.474966667592525482e-02,1.077199801802635193e-01,7.617822289466857910e-01,5.389457345008850098e-01,3.753731846809387207e-01,3.239859044551849365e-01
1.239075213670730591e-01,1.391702443361282349e-01,9.588763117790222168e-01,9.589167237281799316e-01,6.431264877319335938e-01,6.312230825424194336e-01,3.953052163124084473e-01,5.227438211441040039e-01,9.179892539978027344e-01,9.273736476898193359e-01,7.591089010238647461e-01,6.494118571281433105e-01
4.637538269162178040e-02,6.454576551914215088e-02,9.830226898193359375e-01,9.810895919799804688e-01,2.953692674636840820e-01,3.315844237804412842e-01,8.141403198242187500e-01,7.622153162956237793e-01,9.886690378189086914e-01,9.681039452552795410e-01,8.756798505783081055e-01,8.721014857292175293e-01
2.921924367547035217e-02,8.752872049808502197e-02,9.890087842941284180e-01,9.704754352569580078e-01,1.919658035039901733e-01,4.987098574638366699e-01,8.882093429565429688e-01,5.407337546348571777e-01,9.949134588241577148e-01,9.605377316474914551e-01,9.142097234725952148e-01,8.620496392250061035e-01
1.801468245685100555e-02,4.753563925623893738e-02,9.927586317062377930e-01,9.835084676742553711e-01,1.301234662532806396e-01,2.614228725433349609e-01,9.301172494888305664e-01,8.686252236366271973e-01,9.980209469795227051e-01,9.833991527557373047e-01,9.406369328498840332e-01,8.335224390029907227e-01
1.015905663371086121e-02,4.807965084910392761e-02,9.956383705139160156e-01,9.931012392044067383e-01,7.746927440166473389e-02,1.143540441989898682e-01,9.595654606819152832e-01,9.167611598968505859e-01,9.994730949401855469e-01,9.790529012680053711e-01,9.628712534904479980e-01,9.539238214492797852e-01
1.250661350786685944e-02,4.456865414977073669e-02,9.952263832092285156e-01,9.944967031478881836e-01,8.702614903450012207e-02,8.608797192573547363e-02,9.544433951377868652e-01,9.266759753227233887e-01,9.987540841102600098e-01,9.791109561920166016e-01,9.605650305747985840e-01,9.702444076538085938e-01
8.153318427503108978e-03,4.592568054795265198e-02,9.967308044433593750e-01,9.951379895210266113e-01,6.028952449560165405e-02,7.045479118824005127e-02,9.687361717224121094e-01,9.288117289543151855e-01,9.993455410003662109e-01,9.812405705451965332e-01,9.730864167213439941e-01,9.802747964859008789e-01
5.105074029415845871e-03,4.529615491628646851e-02,9.978390336036682129e-01,9.944086074829101562e-01,4.140666872262954712e-02,8.066415041685104370e-02,9.805382490158081055e-01,9.386864900588989258e-01,9.997958540916442871e-01,9.817031621932983398e-01,9.811027050018310547e-01,9.571364521980285645e-01
4.415439441800117493e-03,5.407728999853134155e-02,9.981531500816345215e-01,9.882658720016479492e-01,3.593557700514793396e-02,2.050294131040573120e-01,9.840047359466552734e-01,8.832336664199829102e-01,9.997498989105224609e-01,9.750214815139770508e-01,9.832358956336975098e-01,8.981527090072631836e-01
6.865517701953649521e-03,5.173771083354949951e-02,9.974068403244018555e-01,9.961110353469848633e-01,4.966116324067115784e-02,4.996702075004577637e-02,9.759793281555175781e-01,9.469047784805297852e-01,9.993101954460144043e-01,9.808992147445678711e-01,9.779467582702636719e-01,9.805462956428527832e-01
3.307920414954423904e-03,5.296192690730094910e-02,9.986019730567932129e-01,9.959481358528137207e-01,2.791593968868255615e-02,5.762183293700218201e-02,9.879393577575683594e-01,9.429886341094970703e-01,9.998510479927062988e-01,9.809083938598632812e-01,9.872584939002990723e-01,9.813786149024963379e-01
3.282550722360610962e-03,5.450314283370971680e-02,9.986690878868103027e-01,9.962762594223022461e-01,2.787460573017597198e-02,5.143906921148300171e-02,9.886718392372131348e-01,9.486073851585388184e-01,9.998367428779602051e-01,9.810419678688049316e-01,9.876990914344787598e-01,9.819514155387878418e-01
2.147659426555037498e-03,6.430963426828384399e-02,9.990888833999633789e-01,9.961411952972412109e-01,1.991780474781990051e-02,4.603425785899162292e-02,9.928450584411621094e-01,9.437970519065856934e-01,9.999437928199768066e-01,9.796491861343383789e-01,9.909752607345581055e-01,9.842230677604675293e-01
4.701851401478052139e-03,5.421920120716094971e-02,9.984133839607238770e-01,9.959638714790344238e-01,3.170089423656463623e-02,5.190588906407356262e-02,9.851942062377929688e-01,9.490624666213989258e-01,9.994670152664184570e-01,9.804076552391052246e-01,9.866126775741577148e-01,9.756590723991394043e-01
1.620560651645064354e-03,6.369601935148239136e-02,9.993639588356018066e-01,9.961286783218383789e-01,1.319218892604112625e-02,4.616933688521385193e-02,9.944283366203308105e-01,9.479936957359313965e-01,9.999492764472961426e-01,9.800499081611633301e-01,9.942775964736938477e-01,9.797846674919128418e-01
1.662952592596411705e-03,6.647653877735137939e-02,9.993689656257629395e-01,9.961948394775390625e-01,1.372322160750627518e-02,4.651796445250511169e-02,9.944922924041748047e-01,9.497798085212707520e-01,9.999443888664245605e-01,9.797682762145996094e-01,9.943009018898010254e-01,9.792529940605163574e-01
1.718972343951463699e-03,7.292389869689941406e-02,9.993539452552795410e-01,9.962637424468994141e-01,1.366880536079406738e-02,4.171478003263473511e-02,9.941374063491821289e-01,9.521062970161437988e-01,9.998995661735534668e-01,9.803711175918579102e-01,9.944031834602355957e-01,9.782434105873107910e-01
3.230470232665538788e-03,6.509786099195480347e-02,9.989044666290283203e-01,9.961127638816833496e-01,2.305782958865165710e-02,4.252998158335685730e-02,9.893942475318908691e-01,9.465815424919128418e-01,9.995732903480529785e-01,9.784203767776489258e-01,9.911519289016723633e-01,9.808880090713500977e-01
